"site_name","widths","clay","sand","om","bd","rfc"
"D2AS2",1000,21.0608695652174,42.7217391304348,1.08521739130435,1.45782608695652,18.8608695652174
"D2AS2",2000,20.8,42.2,0.62,1.51,18.6
"D2AS3",300,23.6,43.5333333333333,3.69333333333333,1.24333333333333,12.9
"D2AS3",1000,27.8434782608696,41.5478260869565,1.26,1.44086956521739,13.3434782608696
"D2AS3",2000,27.8,41.2,1.06,1.48,14.3
"D2BS2",300,18.2,34.4,4.25333333333333,1.33333333333333,18.3666666666667
"D2BS2",1000,24.5652173913044,32.3173913043478,1.39608695652174,1.4795652173913,19.904347826087
"D2BS2",2000,25,31.1,1.07,1.51,20.6
"D2BS3",300,21.9,36.3666666666667,4.83,1.15666666666667,20.6333333333333
"D2BS3",1000,23.5739130434783,35.8695652173913,1.42,1.4395652173913,20.795652173913
"D2BS3",2000,23.4,37,1.02,1.47,20.1
"D2BS1",300,31,32.9333333333333,5.03666666666667,1.19333333333333,14.3333333333333
"D2BS1",1000,32.8391304347826,33.1,1.08391304347826,1.4295652173913,13.4478260869565
"D2BS1",2000,32.1,34.1,0.81,1.46,15.1
"D07S2",300,22.6666666666667,37.6666666666667,4.79666666666667,1.18,13.2333333333333
"D07S2",1000,27.595652173913,36.0869565217391,1.32608695652174,1.47217391304348,13.2478260869565
"D07S2",2000,27.9,36,1,1.52,14.9
