"Date","Code_Site.x","Placette","sp","sp_correct_name","coverage","coverage_0_50","coverage_50_100","coverage_100_200","height_0_50","height_50_100","height_100_200"
2016-05-18,"D04S1",1,"Genet cendre","Genista cinerea",20,20,30,50,"40","80","140"
2016-06-01,"D06S3",1,"Calycotome","Calicotome",20,0,0,100,NA,NA,"180"
2016-06-01,"D06S3",1,"Pistachier lentisque","Pistacia lentiscus",15,0,80,20,NA,"70","110"
2016-06-01,"D06S3",1,"Thym","Thymus vulgaris",15,NA,NA,NA,NA,NA,NA
2016-06-01,"D06S3",1,"Ciste cotonneux","Cistus albidus",20,0,40,60,NA,"80","140"
2016-05-18,"D04S2",1,"Buis","Buxus sempervirens",40,0,25,70,NA,"100","140"
2016-05-18,"D04S2",1,"Genet cendre","Genista cinerea",30,0,90,10,NA,"80","130"
2016-05-18,"D04S2",1,"Thym","Thymus vulgaris",20,100,0,0,"20",NA,NA
2016-06-02,"D06S1",1,"Romarin","Rosmarinus officinalis",15,70,30,0,"40","70",NA
2016-06-02,"D06S1",1,"Genevrier cade","Juniperus oxycedrus subsp. oxycedrus",10,0,100,0,NA,"90",NA
2016-04-28,"D84S1",1,"Chene vert","Quercus ilex",50,0,10,90,NA,NA,NA
2016-04-28,"D84S1",1,"Chene kermes","Quercus coccifera",30,0,100,0,NA,NA,NA
2016-04-28,"D84S1",1,"Buis","Buxus sempervirens",10,50,50,0,NA,NA,NA
2016-05-26,"D84S2",1,"Chene vert","Quercus ilex",25,0,2,98,NA,"60","180"
2016-05-26,"D84S2",1,"Romarin","Rosmarinus officinalis",20,40,60,0,"40","80",NA
2016-05-26,"D84S2",1,"Chene kermes","Quercus coccifera",15,30,70,0,"40","70",NA
2017-05-16,"D2BS2",1,"Ciste de Montpellier","Cistus monspeliensis",45,20,80,0,"40","80",NA
2017-05-16,"D2BS2",1,"Bruyere arborescente","Erica arborea",10,0,50,50,NA,"80","200"
2017-05-16,"D2BS2",1,"Lavande stéchade","Lavandula stoechas",10,100,0,0,"40",NA,NA
2016-07-25,"D30S1",1,"Bruyere à balai","Erica scoparia subsp. scoparia",45,0,70,30,NA,"80","120"
2016-07-25,"D30S1",1,"Bruyere cendree","Erica cinerea",15,90,10,0,"40","60",NA
2016-07-25,"D30S1",1,"Bruyere arborescente","Erica arborea",10,0,0,90,NA,NA,"200"
2016-04-04,"D26S1",1,"Genet scorpion","Genista scorpius",40,10,90,0,"40","80",NA
2016-04-04,"D26S1",1,"Chene blanc","Quercus pubescens",1,NA,NA,NA,NA,NA,NA
2017-05-19,"D2AS1",1,"Arbousier","Arbutus unedo",25,0,0,100,NA,NA,"170"
2017-05-19,"D2AS1",1,"Ciste de Montpellier","Cistus monspeliensis",20,0,50,50,NA,"80","120"
2017-05-19,"D2AS1",1,"Lentisque","Pistacia lentiscus",15,NA,NA,NA,NA,NA,NA
2017-05-19,"D2AS1",1,"Bruyere arborescente","Erica arborea",10,0,0,100,NA,NA,"130"
