"Site","LAI_medfate"
"Badalona",1.49234569884207
"Begues",1.67081320882958
"Caldes de Malavella",2.45035895314979
"Camarasa",0.997165097937478
"D04S1",1.69293100231111
"D04S2",2.66324214559817
"D05S1",1.73762608688173
"D06S1",0.712371231531177
"D06S2",3
"D06S3",1.97157933762749
"D07S1",2.04166696144139
"D11S1",1.07507957476941
"D11S2",2.50563487328511
"D13S1",2.15167419188626
"D13S2",1.55103379455994
"D26S1",1.63429332927463
"D2AS1",1.65504700659451
"D2AS2",1.26246654083526
"D2AS3",2.0595626714656
"D2BS2",3
"D2BS3",1.38124070425938
"D30S1",3
"D30S2",1.83307461754117
"D34S1",3
"D34S2",0.954771887649189
"D48S1",3
"D66S1",2.5706631565302
"D66S2",3
"D83S1",2.20486731179186
"D83S2",2.6863658287245
"D83S3",2.61141873543909
"D84S1",0.242983403162404
"D84S2",1.90242917484367
"El Bruc",1.35791225166438
"Montmell",1.424406921865
"Port de la Selva",3
"Tivissa",2.16147429828123
"Tora",1.05576177701308
