"site_name","widths","clay","sand","om","nitrogen","bd","rfc"
"D34S2",600,35.2023255813953,26.4232558139535,0.920697674418605,1.03744186046512,1.47976744186047,12.2325581395349
"D34S2",1000,33.9,26.4,0.63,0.77,1.51,13
"D34S2",2000,33.9,26.4,0.63,0.77,1.51,13
"D34S1",50,27.8,31.1,7.49,5.4,1.07,13.6
"D34S1",150,27.825,31.25,2.7,2.1675,1.1575,16.6
"D34S1",300,33.5,28.45,1.665,1.36,1.3,12.25
"D34S1",600,36.4279069767442,27.4046511627907,1.16162790697674,0.774186046511628,1.43813953488372,12.0790697674419
"D34S1",1000,35.8,27.8,0.75,0.53,1.48,13.8
"D34S1",2000,35.8,27.8,0.75,0.53,1.48,13.8
"D48S1",50,32.4,31.7,9.91,5.84,0.98,8.7
"D48S1",150,32.55,30.95,3.37,2.455,1.11,11.25
"D48S1",300,33.6,29.95,2.25,1.79,1.265,9.4
"D48S1",600,33.2790697674419,30.906976744186,1.22627906976744,1.05697674418605,1.43813953488372,10.1976744186047
"D48S1",1000,32,32,0.61,0.85,1.48,12.5
"D48S1",2000,32,32,0.61,0.85,1.48,12.5
"D66S1",50,25.9,39.9,7.19,4.71,1.11,13.4
"D66S1",150,24.925,39.9,2.57,1.5975,1.225,16.75
"D66S1",300,31.65,36.4,1.69,1.2,1.325,13.55
"D66S1",600,34.6441860465116,34.9441860465116,1.37302325581395,0.890232558139535,1.44279069767442,14.0302325581395
"D66S1",1000,33.9,37.2,1.08,0.76,1.48,15.1
"D66S1",2000,33.9,37.2,1.08,0.76,1.48,15.1
"D66S2",50,27.2,38.8,4.14,2.96,1.28,16
"D66S2",150,25.7,38.95,1.8275,1.555,1.3675,18.05
"D66S2",300,29.75,34.8,1.445,1.19,1.445,16.75
"D66S2",600,31.7767441860465,33.5488372093023,0.822325581395349,0.807906976744186,1.52511627906977,16.9883720930233
"D66S2",1000,30.8,33.2,0.72,0.58,1.56,18.5
"D66S2",2000,30.8,33.2,0.72,0.58,1.56,18.5
"D83S1",50,24.3,33.3,6.3,4.14,1.25,16.2
"D83S1",150,25.625,32.275,2.695,2.4225,1.295,19.15
"D83S1",300,28.3,31.4,1.63,1.635,1.39,17.35
"D83S1",600,28.0744186046512,31.7232558139535,0.859767441860465,1.12744186046512,1.47906976744186,16.9767441860465
"D83S1",1000,28.4,32.7,0.59,0.96,1.5,18
"D83S1",2000,28.4,32.7,0.59,0.96,1.5,18
"D83S2",50,23.9,30.4,6.55,3.88,1.22,13.3
"D83S2",150,24.15,30.325,2.6825,1.85,1.3775,17.275
"D83S2",300,29.4,27.8,1.365,1.28,1.425,13.55
"D83S2",600,30.9139534883721,26.853488372093,0.905116279069768,1.09720930232558,1.46604651162791,13.8
"D83S2",1000,31.1,26.9,0.64,0.96,1.48,14.8
"D83S2",2000,31.1,26.9,0.64,0.96,1.48,14.8
"D83S3",50,27.7,23.6,5.11,3.48,1.27,16.4
"D83S3",150,28.85,23.05,2.7275,2.19,1.315,19.925
"D83S3",300,29.15,23.35,1.665,1.62,1.395,16.2
"D83S3",600,27.6255813953488,24.1209302325581,0.850697674418605,1.13651162790698,1.49906976744186,15.3441860465116
"D83S3",1000,29.3,24.4,0.56,0.89,1.52,16.6
"D83S3",2000,29.3,24.4,0.56,0.89,1.52,16.6
"D84S1",50,26.3,33.7,5.86,3.61,1.25,14.2
"D84S1",150,25.25,34.175,2.805,2.025,1.33,18.075
"D84S1",300,29.45,32.2,1.625,1.565,1.425,14.15
"D84S1",600,31.6581395348837,30.5372093023256,0.925348837209302,1.08023255813953,1.5206976744186,14.9186046511628
"D84S1",1000,30.1,30.7,0.63,0.85,1.53,16.5
"D84S1",2000,30.1,30.7,0.63,0.85,1.53,16.5
"D84S2",50,26.2,27.6,5.14,2.79,1.3,15.5
"D84S2",150,27.125,27,2.44,1.6025,1.385,18.725
"D84S2",300,31.35,25.65,1.71,1.205,1.44,14.9
"D84S2",600,31.8720930232558,25.0325581395349,0.922790697674419,0.844651162790698,1.52674418604651,14.7813953488372
"D84S2",1000,32.5,24.8,0.66,0.64,1.55,16.2
"D84S2",2000,32.5,24.8,0.66,0.64,1.55,16.2
"D06S1",50,28.1,26.8,6.48,4.16,1.3,18.6
"D06S1",150,26.6,27.325,2.475,2.1275,1.3925,19.35
"D06S1",300,26.5,27.7,1.76,1.855,1.445,19.5
"D06S1",600,26.4418604651163,28.4604651162791,1.36279069767442,1.49162790697674,1.49209302325581,21.6209302325581
"D06S1",1000,27,28.6,1,1.08,1.52,24.9
"D06S1",2000,27,28.6,1,1.08,1.52,24.9
"D06S2",50,27.5,36.2,5.58,3.47,1.28,15.3
"D06S2",150,27.15,36.6,2.4075,1.87,1.3575,16.2
"D06S2",300,29.5,35.6,1.87,1.37,1.435,16.55
"D06S2",600,31.7767441860465,33.7976744186047,1.13697674418605,1.11279069767442,1.49906976744186,17.3116279069767
"D06S2",1000,32.8,34.1,1.13,0.95,1.52,18.8
"D06S2",2000,32.8,34.1,1.13,0.95,1.52,18.8
"D06S3",50,22.6,34.1,6.98,3.96,1.25,15.1
"D06S3",150,22.725,34.025,2.775,1.8825,1.315,17.375
"D06S3",300,24.8,33,1.545,1.44,1.415,15.8
"D06S3",600,26.5697674418605,31.9558139534884,0.925116279069767,1.00674418604651,1.50139534883721,16.4488372093023
"D06S3",1000,28.5,32.7,0.76,0.83,1.52,17.1
"D06S3",2000,28.5,32.7,0.76,0.83,1.52,17.1
"D2AS1",50,20,46.4,7.05,5.41,1.2,18.1
"D2AS1",150,20.65,45.7,3,2.1075,1.2675,19.85
"D2AS1",300,23.85,44.4,1.79,1.49,1.375,18.4
"D2AS1",600,24.7372093023256,45.1790697674419,1.16116279069767,1.19604651162791,1.48372093023256,18.4604651162791
"D2AS1",1000,24.9,44.9,1.01,1.01,1.5,19.6
"D2AS1",2000,24.9,44.9,1.01,1.01,1.5,19.6
"D2AS2",50,16.5,46.5,6.91,4.46,1.13,18.8
"D2AS2",150,14.95,47.15,2.98,2.115,1.1975,21.2
"D2AS2",300,19.25,43.7,1.675,1.505,1.33,20.2
"D2AS2",600,20.9860465116279,42.8976744186047,1.02232558139535,0.956046511627907,1.47279069767442,18.4604651162791
"D2AS2",1000,20.8,42.2,0.62,0.77,1.51,18.6
"D2AS2",2000,20.8,42.2,0.62,0.77,1.51,18.6
"D2AS3",50,23,43.4,6.46,5.11,1.16,11.7
"D2AS3",150,23.35,43.8,2.45,2.05,1.2725,14.2
"D2AS3",300,26.1,42.45,1.705,1.315,1.36,12.4
"D2AS3",600,28.1488372093023,41.5255813953488,1.23209302325581,0.921860465116279,1.44976744186046,13.5093023255814
"D2AS3",1000,27.8,41.2,1.06,0.88,1.48,14.3
"D2AS3",2000,27.8,41.2,1.06,0.88,1.48,14.3
"D2BS2",50,17.2,34.5,7.14,4.6,1.29,17.5
"D2BS2",150,17.3,35.125,2.915,1.955,1.3525,19.1
"D2BS2",300,22.95,32.6,2.095,1.81,1.4,19.1
"D2BS2",600,24.5813953488372,32.4488372093023,1.35139534883721,1.19232558139535,1.49372093023256,19.7627906976744
"D2BS2",1000,25,31.1,1.07,0.89,1.51,20.6
"D2BS2",2000,25,31.1,1.07,0.89,1.51,20.6
"D2BS3",50,23,35.4,8.14,4.85,1.1,18.8
"D2BS3",150,20.875,37.125,3.5625,2.5025,1.1625,21.675
"D2BS3",300,23,36.05,2.06,1.795,1.32,21.25
"D2BS3",600,23.5395348837209,35.7441860465116,1.33627906976744,1.16441860465116,1.44906976744186,20.7046511627907
"D2BS3",1000,23.4,37,1.02,0.99,1.47,20.1
"D2BS3",2000,23.4,37,1.02,0.99,1.47,20.1
